5-digit FIPS Code,County,State,2010 Prescribing Rate,State Abbreviation,Name,Release Year,Premature death raw value,Poor or fair health raw value,Poor physical health days raw value,Poor mental health days raw value,Low birthweight raw value,Adult smoking raw value,Adult obesity raw value,Binge drinking raw value,Motor vehicle crash deaths raw value,Chlamydia rate raw value,Teen births raw value,Uninsured adults raw value,Primary care provider rate per 100000 population,Ratio of population to primary care physicians,Preventable hospital stays raw value,Diabetes monitoring raw value,Hospice use raw value,High school graduation raw value,College degrees raw value,Unemployment raw value,Children in poverty raw value,Income inequality raw value,Inadequate social support raw value,Single-parent households raw value,Violent crime raw value,Homicides raw value,Air pollution-particulate matter days raw value,Air pollution-ozone days raw value,Access to healthy foods raw value,Liquor store density raw value
17197,"Will, IL",IL,58.6,IL,Will County,2010.0,5586.7,0.1164,3.12,3.29,0.0742,0.2125,0.263,0.2152,11.3,234.8,27.7,0.135,47.03855102,2125.915825,103.4100863,0.7717,0.43010047,0.892242455,0.29483736,0.061,0.07200000000000001,38.0,0.1948,0.07652841099999999,221.6315894,,6.0,4.0,0.689655172,1.034259858
17199,"Williamson, IL",IL,183.9,IL,Williamson County,2010.0,8445.4,0.2297,4.03,3.38,0.0782,0.2221,0.28,0.1658,21.2,218.1,45.0,0.125,83.47376876,1197.981132,111.6646348,0.785,0.427574389,0.867256637,0.201076022,0.073,0.23,42.5,0.1759,0.093493734,435.7184925,,3.0,0.0,0.272727273,1.879228264
17201,"Winnebago, IL",IL,106.1,IL,Winnebago County,2010.0,7534.7,0.1595,3.51,3.66,0.0899,0.245,0.261,0.1596,12.5,583.8,51.6,0.149,95.01696485,1052.443636,75.57745925,0.8258,0.270570494,0.67860509,0.19949784,0.08900000000000001,0.212,43.5,0.2103,0.106334308,691.0938522999999,,5.0,4.0,0.5,0.680994797
17203,"Woodford, IL",IL,20.9,IL,Woodford County,2010.0,5352.8,0.0956,2.59,1.78,0.0656,0.1735,0.271,0.1727,11.8,121.4,19.0,0.145,43.21404456,2314.0625,55.21614907,0.8646,0.159768942,0.842592593,0.247308747,0.044,0.077,39.3,0.0846,0.064622913,232.9116625,,2.0,0.0,0.5,0.5344021379999999
18001,"Adams, IN",IN,65.7,IN,Adams County,2010.0,6861.4,0.1868,3.57,2.88,0.0578,0.1931,0.28800000000000003,0.1882,16.1,77.1,33.0,0.152,38.48544954,2598.384615,78.62352226,0.8456,0.226727855,0.85645933,0.118901249,0.07400000000000001,0.229,37.9,,0.102829252,,1.7,12.0,2.0,0.571428571,0.892246379
18003,"Allen, IN",IN,87.1,IN,Allen County,2010.0,7159.1,0.1259,3.05,3.15,0.0867,0.2367,0.289,0.17800000000000002,10.3,512.5,48.8,0.14,69.40920518,1440.731092,58.89439153,0.813,0.370228475,0.754799514,0.24884597,0.06,0.159,42.4,0.185,0.108046299,,6.5,9.0,22.0,0.309090909,0.982250162
18005,"Bartholomew, IN",IN,148.9,IN,Bartholomew County,2010.0,7771.4,0.152,3.37,3.29,0.0705,0.2545,0.29100000000000004,0.124,19.3,217.6,59.9,0.14400000000000002,101.0928962,989.1891892,74.67912419,0.8212,0.479713761,0.742950109,0.25740062,0.046,0.158,42.9,0.1776,0.091383252,,1.8,9.0,4.0,0.3,1.351369613
18007,"Benton, IN",IN,17.9,IN,Benton County,2010.0,8132.7,0.1708,4.68,2.54,0.0577,,0.29100000000000004,,26.7,121.5,41.6,0.18600000000000005,33.94817246,2945.666667,72.10636246,0.75,,0.774390244,0.151114583,0.052000000000000005,0.141,35.0,,0.092158505,,0.0,1.0,0.0,0.375,2.257336343
18009,"Blackford, IN",IN,126.0,IN,Blackford County,2010.0,7854.4,0.2213,4.1,2.98,0.0806,,0.28600000000000003,0.1358,26.1,88.2,60.6,0.116,59.21101325,1688.875,101.5346979,0.8436,0.179910113,0.789156627,0.116578097,0.076,0.2,37.0,,0.098374793,,3.1,13.0,2.0,1.0,2.258866049
18011,"Boone, IN",IN,80.1,IN,Boone County,2010.0,5346.4,0.1287,3.29,2.3,0.0644,0.1784,0.303,0.1225,16.5,117.7,27.2,0.136,175.0053474,571.4111111000002,80.15352227,0.8259,0.455701192,0.829959514,0.352590103,0.043,0.076,55.1,0.1184,0.068581269,,2.3,10.0,16.0,0.833333333,1.5112017830000002
18013,"Brown, IN",IN,49.5,IN,Brown County,2010.0,6907.8,0.1208,2.44,3.23,0.0701,0.2192,0.276,0.1109,25.7,46.4,23.6,0.195,47.05249714,2125.285714,67.0927787,0.8016,0.462106138,0.721393035,0.20521192,0.056,0.14400000000000002,40.7,,0.066571004,,1.9,8.0,4.0,0.5,0.6745362559999999
18015,"Carroll, IN",IN,33.4,IN,Carroll County,2010.0,7143.0,0.1837,3.03,3.36,0.0671,0.3009,0.28600000000000003,0.1211,21.3,87.7,33.3,0.162,29.91623454,3342.666667,60.33682658,0.8508,0.167077901,0.827160494,0.146196875,0.059,0.123,38.6,,0.071039412,,3.5,10.0,4.0,0.333333333,0.999150722
18017,"Cass, IN",IN,82.1,IN,Cass County,2010.0,7869.7,0.1658,2.79,3.19,0.0749,0.246,0.299,0.0987,17.0,102.8,58.2,0.165,63.00403226,1587.2,72.83126832,0.758,0.196650024,0.769509982,0.122780239,0.064,0.17,38.2,,0.086608213,,2.8,10.0,1.0,0.1,1.013710434
18019,"Clark, IN",IN,144.3,IN,Clark County,2010.0,8418.2,0.1543,3.53,4.71,0.0759,0.2921,0.298,0.1549,11.8,245.2,52.5,0.141,69.9348916,1429.901409,98.26124921,0.7667,0.3619863820000001,0.707718994,0.17440495600000006,0.054000000000000006,0.152,39.8,0.1862,0.103145204,,2.9,10.0,13.0,0.315789474,0.8679550979999999
18021,"Clay, IN",IN,133.5,IN,Clay County,2010.0,9031.3,0.2411,4.4,3.18,0.0679,0.3292,0.297,0.2045,26.8,151.7,47.6,0.134,37.28143757,2682.3,101.5242995,0.7635,0.17171692300000002,0.68956743,0.160500695,0.071,0.16399999999999998,40.0,,0.07929811099999999,,1.6,4.0,0.0,0.2,0.7479991020000001
18023,"Clinton, IN",IN,97.9,IN,Clinton County,2010.0,7947.3,0.1923,4.06,3.31,0.0765,0.2036,0.28,0.0887,22.0,172.4,62.7,0.177,35.50295858,2816.666667,82.66667312,0.8235,0.313200886,0.720883534,0.136786671,0.054000000000000006,0.172,38.4,0.1297,0.078341392,,3.8,11.0,1.0,0.25,1.479508803
18025,"Crawford, IN",IN,71.3,IN,Crawford County,2010.0,9501.2,0.1959,5.1,2.55,0.0865,,0.297,0.0971,23.6,143.7,46.7,0.165,9.135757353999999,10946.0,98.99206398,0.8129,0.273083595,0.757352941,0.099533342,0.077,0.274,45.4,,0.096430057,,2.6,4.0,1.0,0.125,1.836210062
18027,"Daviess, IN",IN,108.1,IN,Daviess County,2010.0,7641.6,0.244,4.53,3.33,0.0691,0.2682,0.285,0.1557,20.6,155.5,47.1,0.175,33.32222593,3001.0,88.15497103,0.8026,0.228533763,0.765472313,0.094835239,0.038,0.222,39.6,0.1619,0.089962554,,1.0,8.0,0.0,0.5,0.668918693
18029,"Dearborn, IN",IN,126.7,IN,Dearborn County,2010.0,7016.9,0.129,3.86,2.75,0.0742,,0.278,0.1895,20.4,134.9,38.3,0.136,59.64623612,1676.551724,96.63802827,0.8564,0.266555749,0.819650067,0.152108204,0.059,0.109,35.6,,0.085707987,,1.8,7.0,5.0,0.833333333,1.4227931459999998
18031,"Decatur, IN",IN,100.7,IN,Decatur County,2010.0,7613.5,0.1602,3.43,3.32,0.0669,0.2254,0.293,0.1314,24.8,108.2,56.0,0.125,35.95685178,2781.111111,89.79188798,0.8157,0.4523224220000001,0.762762763,0.125165324,0.064,0.151,40.1,0.1822,0.107135597,,3.5,7.0,4.0,0.333333333,1.999760029
18033,"DeKalb, IN",IN,69.4,IN,De Kalb County,2010.0,6323.5,0.1603,3.64,3.45,0.0574,0.2169,0.301,0.1156,21.6,150.4,50.8,0.118,65.24575903,1532.666667,80.34594773,0.8527,0.237458701,0.8408679929999999,0.156290127,0.07200000000000001,0.123,37.3,0.1338,0.0908858,,2.4,9.0,4.0,0.7142857140000001,0.7221954740000001
18035,"Delaware, IN",IN,144.5,IN,Delaware County,2010.0,9110.3,0.1621,3.93,4.36,0.0906,0.2322,0.313,0.1614,13.1,437.0,29.3,0.146,113.9313157,877.7218045,81.68588866,0.821,0.180178822,0.6965466570000001,0.217053185,0.067,0.219,43.9,0.1664,0.088663384,,3.1,9.0,11.0,0.28571428600000004,1.469571231
18037,"Dubois, IN",IN,134.7,IN,Dubois County,2010.0,6267.7,0.1177,1.46,1.5,0.0643,0.1982,0.271,0.2361,17.0,53.4,34.2,0.14400000000000002,85.72968207,1166.457143,74.40600034,0.8086,0.16275113300000002,0.876460768,0.179202571,0.038,0.091,40.6,0.1699,0.076844131,,1.4,10.0,1.0,0.333333333,1.705237515
18039,"Elkhart, IN",IN,88.7,IN,Elkhart County,2010.0,6866.6,0.1607,2.8,3.13,0.0679,0.2297,0.28600000000000003,0.1313,16.3,376.6,63.6,0.174,55.80212978,1792.046296,65.74381402,0.8068,0.284424508,0.676783005,0.16756587,0.086,0.162,42.0,0.1939,0.114689066,,4.9,10.0,13.0,0.615384615,1.068887238
18041,"Fayette, IN",IN,168.9,IN,Fayette County,2010.0,9108.7,0.2194,3.09,6.65,0.0839,0.2616,0.28800000000000003,0.1719,17.2,137.9,57.5,0.112,56.9545584,1755.785714,103.5557633,0.7755,0.117315301,0.615384615,0.08997895199999999,0.107,0.198,42.8,,0.102869626,,4.0,6.0,3.0,0.333333333,1.230314961
18043,"Floyd, IN",IN,214.5,IN,Floyd County,2010.0,6988.6,0.1964,3.86,3.6,0.0815,0.2817,0.29100000000000004,0.16699999999999998,12.4,315.6,39.2,0.106,87.68267223,1140.476191,105.2825344,0.7752,0.3889114870000001,0.7440273040000001,0.209336853,0.051,0.159,40.9,0.1893,0.118465788,,3.4,12.0,11.0,0.5,1.519693851
18045,"Fountain, IN",IN,133.9,IN,Fountain County,2010.0,8123.0,0.1746,4.27,3.1,0.075,0.281,0.289,0.1725,27.7,165.8,48.2,0.134,29.05287624,3442.0,106.4603845,0.7072,0.100203766,0.724409449,0.115656625,0.053,0.16699999999999998,39.6,0.14300000000000002,0.083560023,,2.4,0.0,0.0,0.5,1.7416545719999998
18047,"Franklin, IN",IN,65.1,IN,Franklin County,2010.0,6418.2,0.2211,4.0,2.46,0.0767,0.2596,0.28600000000000003,0.1374,25.3,34.2,36.0,0.145,17.44972299,5730.75,96.04269139,0.8075,0.224612828,0.887052342,0.173603862,0.066,0.128,40.8,0.1735,0.063009916,,2.5,5.0,4.0,0.571428571,0.8673403009999999
18049,"Fulton, IN",IN,118.3,IN,Fulton County,2010.0,8381.7,0.1973,4.51,3.28,0.0709,0.2633,0.284,0.1212,21.1,135.8,50.7,0.152,54.26203631,1842.909091,85.85103559999997,0.6568,0.163323225,0.712962963,0.105131682,0.065,0.16699999999999998,37.3,0.2163,0.11610666,,1.4,7.0,1.0,0.375,0.493072334
18051,"Gibson, IN",IN,104.7,IN,Gibson County,2010.0,6277.1,0.1452,3.48,3.27,0.0751,0.243,0.282,0.1005,22.2,107.8,40.4,0.129,30.39421294,3290.1,76.88601462,0.88,0.203892636,0.833740831,0.14340112900000002,0.052000000000000005,0.138,37.8,0.1879,0.055521330999999986,,4.8,8.0,0.0,0.363636364,1.819615455
18053,"Grant, IN",IN,130.7,IN,Grant County,2010.0,8556.8,0.1842,4.39,3.77,0.091,0.2641,0.301,0.105,18.0,315.1,46.2,0.127,50.03216353,1998.714286,87.6354202,0.8182,0.176699932,0.7076271190000001,0.154018928,0.077,0.248,41.3,0.2085,0.101377988,,3.0,9.0,3.0,0.545454546,1.438828218
18055,"Greene, IN",IN,109.4,IN,Greene County,2010.0,8842.0,0.2036,4.09,4.22,0.0843,0.2655,0.28600000000000003,0.0882,18.6,86.9,49.6,0.146,27.24630661,3670.222222,119.92584340000002,0.8056,0.239604981,0.705128205,0.11388421,0.062,0.19,41.0,0.1443,0.0955983,,3.9,6.0,10.0,0.25,1.518187891
18057,"Hamilton, IN",IN,69.1,IN,Hamilton County,2010.0,4394.0,0.1025,2.52,2.5,0.0653,0.154,0.247,0.1645,7.8,98.4,16.4,0.104,140.0247832,714.1592919999998,56.76031274,0.8528,0.314178219,0.8736803790000001,0.530491566,0.038,0.046,41.4,0.1279,0.076972375,,1.2,12.0,18.0,0.5,0.7143424079999999
18059,"Hancock, IN",IN,96.7,IN,Hancock County,2010.0,6920.0,0.1464,3.76,3.33,0.0659,0.2243,0.28300000000000003,0.1655,15.8,121.4,35.4,0.14,75.30241128,1327.978723,73.74030765,0.8441,0.338447239,0.845022624,0.248591665,0.048,0.063,36.1,0.1203,0.074776516,,1.2,8.0,15.0,0.25,0.619665071
18061,"Harrison, IN",IN,106.1,IN,Harrison County,2010.0,7741.2,0.1618,3.58,3.54,0.0708,0.2326,0.29,0.1828,24.1,148.7,39.6,0.136,54.85463522,1823.0,91.08812831,0.7978,0.332690697,0.818867925,0.136706613,0.059,0.139,38.4,0.1549,0.07138097,,3.2,12.0,4.0,0.307692308,0.546089996
18063,"Hendricks, IN",IN,88.2,IN,Hendricks County,2010.0,5126.8,0.1301,3.14,3.14,0.0609,0.23,0.276,0.1626,10.3,115.1,23.4,0.139,62.53166160000001,1599.189873,80.37605661,0.8104,0.410412435,0.8660377359999999,0.300125837,0.043,0.054000000000000006,37.4,0.1452,0.080896392,,1.6,9.0,7.0,0.5,0.767312488
18065,"Henry, IN",IN,122.0,IN,Henry County,2010.0,9107.3,0.157,3.83,3.43,0.0758,0.2797,0.302,0.0977,22.4,153.4,45.2,0.124,48.66283006,2054.956522,97.62058572,0.8381,0.251124481,0.804651163,0.138404886,0.071,0.14800000000000002,39.2,0.1755,0.074969707,,2.7,8.0,3.0,0.266666667,1.263370673
18067,"Howard, IN",IN,172.5,IN,Howard County,2010.0,7889.2,0.147,3.7,3.48,0.0793,0.2311,0.28300000000000003,0.0871,15.7,261.5,57.6,0.11,74.69056765,1338.857143,76.19345893,0.8381,0.193752743,0.733394834,0.17956128100000002,0.079,0.19,41.4,0.2226,0.108525791,,6.1,10.0,2.0,0.444444444,1.549943964
18069,"Huntington, IN",IN,92.1,IN,Huntington County,2010.0,6523.6,0.1587,3.94,4.1,0.0749,0.2601,0.304,0.1816,17.3,92.0,33.9,0.135,60.56616195,1651.086957,76.31029164,0.8593,0.326823213,0.766283525,0.16277595,0.067,0.136,38.1,0.215,0.07835123,,1.9,8.0,7.0,0.2,1.584158416
18071,"Jackson, IN",IN,133.7,IN,Jackson County,2010.0,8498.0,0.2052,4.31,3.4,0.0806,0.2736,0.302,0.1679,16.1,242.9,65.4,0.157,64.38842916,1553.074074,69.97530924,0.7806,0.268699721,0.7528301890000001,0.13087011699999998,0.053,0.175,38.7,,0.071273155,,2.4,5.0,9.0,0.222222222,1.664605726
18073,"Jasper, IN",IN,123.6,IN,Jasper County,2010.0,8428.1,0.1553,4.44,4.13,0.0617,,0.28600000000000003,0.1212,19.5,120.8,34.9,0.152,57.55763758,1737.388889,86.24759946,0.8293,0.286112421,0.752043597,0.161432561,0.058,0.112,36.1,0.1697,0.07701935900000001,,2.8,4.0,1.0,0.666666667,0.942092702
18075,"Jay, IN",IN,118.1,IN,Jay County,2010.0,8810.1,0.2108,4.11,3.13,0.0814,0.2135,0.306,0.0623,25.2,87.9,48.8,0.147,37.40065451,2673.75,95.75841583,0.8014,0.307446549,0.682142857,0.110476058,0.059,0.191,39.3,0.2146,0.100865237,,1.3,13.0,2.0,0.5,1.398145128
18077,"Jefferson, IN",IN,151.6,IN,Jefferson County,2010.0,7842.2,0.1985,4.09,5.27,0.0691,0.3038,0.313,0.1681,16.0,211.2,40.3,0.152,83.79368134,1193.407407,91.88966195,0.8059999999999999,0.240383525,0.689922481,0.179589163,0.059,0.189,43.3,,0.101583747,,1.8,2.0,3.0,0.6,2.139364303
18079,"Jennings, IN",IN,145.8,IN,Jennings County,2010.0,9337.0,0.2004,4.77,5.33,0.0718,0.3361,0.297,0.1604,22.0,182.6,78.7,0.131,35.62903053,2806.7,90.01587974,0.8536,0.358016808,0.6015228429999999,0.084123159,0.071,0.173,34.8,,0.125793719,,3.1,5.0,3.0,0.14285714300000002,0.715026277
18081,"Johnson, IN",IN,107.7,IN,Johnson County,2010.0,6377.5,0.1677,3.75,3.75,0.0669,0.2702,0.276,0.1394,11.9,180.8,34.3,0.117,82.73025298,1208.747664,78.05157082,0.8056,0.287493436,0.805571677,0.24842687,0.047,0.094,38.9,0.2203,0.09004597800000001,,2.3,19.0,4.0,0.5555555560000001,1.055830826
18083,"Knox, IN",IN,134.6,IN,Knox County,2010.0,9389.3,0.1736,3.46,3.89,0.0816,0.3056,0.285,0.1571,19.3,190.9,37.8,0.14,68.10561609,1468.307692,90.65917975,0.7791,0.264326054,0.778508772,0.145234067,0.051,0.244,47.0,0.1603,0.103070903,,1.9,11.0,0.0,0.166666667,1.313508118
18085,"Kosciusko, IN",IN,87.9,IN,Kosciusko County,2010.0,7186.2,0.1549,3.13,3.29,0.0661,0.2701,0.289,0.104,22.1,104.5,49.8,0.175,49.02285525,2039.864865,70.63233366,0.8391,0.246394571,0.752879581,0.184831562,0.067,0.119,40.2,0.187,0.09452753,,1.7,9.0,4.0,0.333333333,0.923348854
18087,"LaGrange, IN",IN,26.7,IN,Lagrange County,2010.0,5613.9,0.171,3.65,3.23,0.055,0.2679,0.278,0.1343,23.1,83.1,35.8,0.159,24.78587756,4034.555556,77.08826913,0.8021,0.302002998,0.738359202,0.080412371,0.084,0.139,36.8,0.187,0.047288933,,1.6,10.0,5.0,0.5,1.362657728
18089,"Lake, IN",IN,92.6,IN,Lake County,2010.0,9685.7,0.1775,3.51,3.47,0.0927,0.2803,0.32299999999999995,0.1668,14.1,417.2,48.8,0.141,73.20148864,1366.092437,100.141504,0.6959,0.308065459,0.690966222,0.1818422,0.062,0.237,42.7,0.228,0.121755837,,19.8,15.0,20.0,0.6875,1.694136858
18091,"LaPorte, IN",IN,114.8,IN,La Porte County,2010.0,8628.9,0.1462,3.44,3.69,0.0829,0.2561,0.295,0.1795,21.6,252.5,54.1,0.149,67.79971597,1474.932432,84.55405898,0.7978,0.278365495,0.694143167,0.163848964,0.062,0.212,40.4,0.1888,0.104259606,,5.5,6.0,14.0,0.230769231,1.189626457
18093,"Lawrence, IN",IN,156.6,IN,Lawrence County,2010.0,8886.8,0.2001,3.46,4.37,0.0736,0.2487,0.292,0.0943,18.0,116.3,57.3,0.135,58.74417998,1702.296296,101.9592574,0.8164,0.187197594,0.703703704,0.117162742,0.08199999999999999,0.18,41.6,0.2305,0.094022117,,3.1,3.0,0.0,0.2,1.307417415
18095,"Madison, IN",IN,154.1,IN,Madison County,2010.0,8632.1,0.2043,4.1,5.05,0.0869,0.3119,0.304,0.1322,17.2,392.9,51.1,0.117,65.09020737,1536.3294119999996,90.44775998,0.8153,0.258521172,0.6633906629999999,0.161598378,0.07,0.226,40.5,0.215,0.104899595,,3.4,10.0,10.0,0.588235294,2.210450093
18097,"Marion, IN",IN,102.7,IN,Marion County,2010.0,9299.5,0.1739,3.59,3.77,0.0895,0.2629,0.285,0.1687,11.9,826.9,68.6,0.141,127.174775,786.319457,69.26916696,0.777,0.34767332100000004,0.616085423,0.267240985,0.056,0.228,44.8,0.2212,0.12662647400000002,,13.4,22.0,17.0,0.5,1.672420864
18099,"Marshall, IN",IN,88.7,IN,Marshall County,2010.0,6477.1,0.1198,3.23,2.49,0.0643,0.2382,0.28300000000000003,0.1261,23.4,44.4,46.4,0.181,62.61199991,1597.137931,67.59209714,0.8291,0.239208618,0.798347107,0.170607662,0.07400000000000001,0.128,39.2,0.1685,0.071797613,,2.5,7.0,3.0,0.444444444,0.857485852
18101,"Martin, IN",IN,112.6,IN,Martin County,2010.0,11186.3,0.1498,4.61,2.96,0.08900000000000001,0.2303,0.292,0.1097,37.7,67.7,46.6,0.142,29.57121735,3381.666667,87.71204936,0.8065,0.13263829800000002,0.844594595,0.101732452,0.048,0.171,40.0,,0.081225153,,7.0,5.0,0.0,0.666666667,1.969861125
18103,"Miami, IN",IN,74.4,IN,Miami County,2010.0,8096.4,0.1438,3.8,3.93,0.0657,0.3315,0.276,0.1627,23.4,118.1,50.8,0.126,35.36548872,2827.615385,82.52565236,0.8386,0.201447505,0.734406439,0.116459319,0.08,0.172,38.6,0.1864,0.082837597,,2.7,10.0,1.0,0.4,0.8118201009999999
18105,"Monroe, IN",IN,97.6,IN,Monroe County,2010.0,6356.3,0.136,3.54,4.14,0.0689,0.2229,0.261,0.201,8.1,309.9,13.8,0.236,80.15903553,1247.52,45.35829006,0.8403,0.30131120100000003,0.7712355209999999,0.396907726,0.045,0.179,50.0,0.1947,0.077030242,,2.2,5.0,0.0,0.3125,0.942610718
18107,"Montgomery, IN",IN,118.9,IN,Montgomery County,2010.0,8106.0,0.1631,3.94,4.16,0.0751,0.2986,0.29600000000000004,0.1158,26.9,214.8,56.2,0.13,68.69583598,1455.692308,88.03675819,0.7953,0.111776948,0.773333333,0.171943729,0.049,0.159,36.3,0.2416,0.072661773,,1.5,6.0,0.0,0.117647059,1.060501617
18109,"Morgan, IN",IN,161.4,IN,Morgan County,2010.0,7229.1,0.1539,3.26,3.71,0.0827,0.2674,0.292,0.1532,22.6,176.4,42.8,0.142,41.88572419,2387.448276,101.5799531,0.8286,0.325952155,0.822120867,0.144553433,0.058,0.126,37.2,0.1915,0.074800465,,3.6,8.0,7.0,0.625,1.00567488
18111,"Newton, IN",IN,26.4,IN,Newton County,2010.0,9513.4,0.1917,2.93,2.74,0.0799,,0.28800000000000003,0.1503,31.1,77.0,34.7,0.162,14.07657658,7104.0,98.57539852,0.7712,0.311236516,0.725225225,0.109982844,0.062,0.127,38.4,,0.078137572,,1.0,4.0,1.0,0.5555555560000001,1.427653651
18113,"Noble, IN",IN,80.3,IN,Noble County,2010.0,7818.7,0.1825,3.03,2.72,0.07400000000000001,0.2415,0.298,0.1586,21.9,100.2,57.7,0.182,40.08523387,2494.684211,79.83025663,0.7857,0.265676387,0.7271341459999999,0.13413678199999998,0.083,0.14,35.1,0.2371,0.082920935,,0.9,10.0,5.0,0.4,1.262679406
18115,"Ohio, IN",IN,–,IN,Ohio County,2010.0,7575.9,,,,0.0692,,0.28300000000000003,,17.4,85.8,45.5,0.158,0.0,-5826.0,98.35079861,0.7667,0.299829356,0.802197802,0.131912943,0.062,0.128,40.8,,0.085964081,,0.0,1.0,5.0,1.0,1.713502399
18117,"Orange, IN",IN,125.6,IN,Orange County,2010.0,7532.4,0.277,4.66,4.56,0.0777,0.3431,0.295,0.0856,23.5,86.5,57.1,0.13699999999999998,61.39677667,1628.75,84.10752833,0.7757,0.191294542,0.7572463770000001,0.11580793,0.061,0.219,45.1,,0.086478397,,3.7,3.0,0.0,0.75,2.0530719090000003
18119,"Owen, IN",IN,73.3,IN,Owen County,2010.0,8548.1,0.1921,4.08,3.07,0.0736,0.3541,0.29600000000000004,0.2071,19.2,101.1,49.9,0.165,22.35736004,4472.8,69.01402932,0.8298,0.328157739,0.6932773109999999,0.094803417,0.064,0.211,39.1,,0.07341863,,3.2,5.0,3.0,0.14285714300000002,0.447968463
18121,"Parke, IN",IN,60.2,IN,Parke County,2010.0,8584.4,0.1807,4.69,3.15,0.0849,,0.28600000000000003,0.094,26.4,76.4,38.8,0.153,40.69530841,2457.285714,97.48932861,0.7341,0.159188838,0.8009259259999999,0.133963688,0.061,0.281,41.2,,0.085051671,,3.3,2.0,0.0,0.222222222,1.748863239
18123,"Perry, IN",IN,119.3,IN,Perry County,2010.0,8854.8,0.2159,4.91,4.2,0.094,0.2707,0.285,0.162,22.7,21.2,50.7,0.127,58.08734224,1721.5454550000004,106.42736770000002,0.8084,0.183983729,0.7701149429999999,0.109794308,0.051,0.16,40.5,0.2017,0.084040364,,5.3,10.0,18.0,0.125,1.062473438
18125,"Pike, IN",IN,113.8,IN,Pike County,2010.0,9703.4,0.2443,4.73,3.46,0.0956,0.1633,0.29600000000000004,0.1514,30.3,101.1,50.2,0.149,23.94444888,4176.333333,98.00441219,0.8811,0.173965652,0.739130435,0.100437901,0.056,0.132,38.3,,0.08330064400000001,,3.4,8.0,0.0,0.166666667,2.373605507
18127,"Porter, IN",IN,102.1,IN,Porter County,2010.0,6557.5,0.1317,3.41,3.6,0.0677,0.2594,0.28600000000000003,0.1678,16.1,114.3,25.2,0.153,62.93468279,1588.94898,87.00651724,0.7611,0.430343423,0.846646943,0.24714371,0.048,0.117,41.7,0.1831,0.083098453,,2.2,8.0,16.0,0.5,1.074663852
18129,"Posey, IN",IN,71.6,IN,Posey County,2010.0,7551.6,0.1522,3.86,2.48,0.0667,0.2497,0.29,0.2333,17.6,119.6,27.5,0.124,18.87504719,5298.0,96.67698923,0.7571,0.288681116,0.8912466840000001,0.168103931,0.049,0.108,39.2,,0.066123622,,2.7,8.0,7.0,0.333333333,1.13757015
18131,"Pulaski, IN",IN,88.0,IN,Pulaski County,2010.0,8839.6,,4.22,3.32,0.0682,0.2606,0.29100000000000004,0.1103,21.8,86.6,46.2,0.154,43.56982064,2295.166667,91.90969988,0.6634,0.16921766600000002,0.822580645,0.11544218,0.057,0.165,39.6,,0.08262389,,1.0,5.0,2.0,0.4,1.4519056259999998
18133,"Putnam, IN",IN,90.4,IN,Putnam County,2010.0,6592.5,0.1413,2.41,2.6,0.0745,0.257,0.281,0.1025,15.3,148.7,37.8,0.16,45.95339785,2176.117647,91.4974077,0.8205,0.294581587,0.7550274220000001,0.148494983,0.067,0.134,39.1,0.1531,0.08821208800000001,,3.5,2.0,0.0,0.222222222,1.3582158480000002
18135,"Randolph, IN",IN,90.0,IN,Randolph County,2010.0,7630.8,0.2282,4.58,2.93,0.0783,0.2229,0.28600000000000003,0.1075,19.3,158.0,53.7,0.158,30.53551662,3274.875,90.02759125,0.7542,0.238112667,0.801020408,0.098205439,0.069,0.199,37.4,0.1921,0.098803229,,2.1,10.0,3.0,0.5555555560000001,1.531980084
18137,"Ripley, IN",IN,108.2,IN,Ripley County,2010.0,7500.3,0.138,2.91,2.77,0.0722,0.2728,0.281,0.1826,16.3,176.6,49.4,0.141,73.30840847,1364.1,92.45485104,0.8012,0.249179572,0.761744966,0.136511975,0.06,0.127,41.7,0.2073,0.110502456,,0.5,7.0,4.0,0.636363636,1.4582042219999998
18139,"Rush, IN",IN,109.3,IN,Rush County,2010.0,7140.1,,3.78,3.91,0.0858,0.2354,0.292,0.1075,22.3,124.4,50.6,0.142,39.66679889,2521.0,125.9943856,0.7594,0.23431815,0.652542373,0.117983151,0.061,0.16399999999999998,41.0,0.2084,0.08182542400000001,,1.6,6.0,3.0,0.125,1.139341461
18141,"St. Joseph, IN",IN,96.9,IN,St. Joseph County,2010.0,7635.6,0.1431,3.27,3.6,0.0798,0.2396,0.295,0.16399999999999998,12.4,391.1,42.4,0.151,95.53226196,1046.766798,61.30681118,0.8014,0.313714012,0.67446874,0.257698988,0.066,0.201,44.5,0.2024,0.089963165,,7.1,7.0,13.0,0.517241379,0.790945557
18143,"Scott, IN",IN,239.4,IN,Scott County,2010.0,12403.3,0.2678,5.73,5.4,0.0892,0.2555,0.289,0.0832,28.1,223.6,72.4,0.126,55.09408374,1815.076923,125.9132935,0.7886,0.287173355,0.634920635,0.100988745,0.065,0.233,37.5,,0.125527752,,3.7,4.0,2.0,0.75,1.69369522
18145,"Shelby, IN",IN,111.5,IN,Shelby County,2010.0,8330.4,0.189,4.71,3.73,0.0823,0.2962,0.299,0.1122,16.7,111.1,49.6,0.13,39.14975934,2554.294118,109.9543348,0.8069,0.35233729,0.728,0.139609068,0.058,0.138,44.1,0.1681,0.073788805,,1.0,9.0,10.0,0.5,0.915080527
